games, wins, q_loss, v_loss
30, 28, 0.009055815081720512, 0.010840853687207662
30, 28, 0.008863318186888408, 0.010838192282061718
30, 28, 0.00865972977106193, 0.010221718473772543
30, 30, 0.0087229474201671, 0.010433093647450398
30, 29, 0.008853696494231187, 0.010354766340863
30, 30, 0.008630073368407157, 0.009996907744300728
30, 30, 0.008614164834914992, 0.010074133480435258
30, 27, 0.008829787738041018, 0.010426338070400935
30, 27, 0.00803892139491078, 0.00939900655218971
30, 27, 0.008413724125565273, 0.009688189542575625
30, 28, 0.008275038686930396, 0.009785593516182413
30, 27, 0.008225936271208135, 0.009466987383732096
30, 29, 0.00881644651148929, 0.010038354130908072
30, 30, 0.008517443275405224, 0.009926830842803833
30, 25, 0.00813440203116188, 0.009514819958225878
30, 26, 0.008231241370622939, 0.00971546398078487
30, 27, 0.008684932422733669, 0.010271343703304113
30, 27, 0.008736694454904707, 0.01000840442778131
30, 28, 0.008539680941990379, 0.010023431312616978
30, 29, 0.008803242472568463, 0.010267715162683471
30, 26, 0.008917481774837503, 0.010409623849533051
30, 26, 0.008903553181709187, 0.010400733878960783
30, 30, 0.008447107217000555, 0.009771631320695617
30, 25, 0.008335565340194457, 0.00961684002926165
30, 29, 0.008679596807997375, 0.010136980327278293
30, 30, 0.008639577778293881, 0.01014611352782352
30, 25, 0.008892890345335766, 0.010466884097189525
30, 29, 0.008923317786553803, 0.010411416304256908
30, 29, 0.008600557050584327, 0.010139704209216158
30, 28, 0.008010986671223757, 0.009127393775960413
30, 29, 0.00835066880258362, 0.009656720466268911
30, 28, 0.008245293315480328, 0.009654905844781491
30, 25, 0.008339705353838418, 0.009244421447117335
30, 28, 0.008337484718915178, 0.009384705411802056
30, 24, 0.009135406333285967, 0.010516017628425163
30, 29, 0.009172288357645317, 0.010265828949658589
30, 27, 0.008486697164023815, 0.009812897511509903
30, 28, 0.008239851698871838, 0.009361679720494098
30, 26, 0.007587699230862201, 0.008513715291701371
30, 27, 0.00791499477374084, 0.009016346695259888
30, 28, 0.0075961051652310065, 0.008613128469274577
30, 28, 0.007871227467043043, 0.009218994236027738
