games, wins, q_loss, v_loss
30, 17, 0.014428495246661566, 0.015932336004076824
30, 21, 0.014556916400912383, 0.015831838119867266
30, 21, 0.014662233493681315, 0.016054897937744162
30, 20, 0.014665931958910956, 0.016099598617491218
30, 23, 0.014404274114773751, 0.01567562226477651
30, 22, 0.014322029452144011, 0.015574386767948305
30, 22, 0.013655989257745561, 0.014969379899545495
30, 21, 0.013392037668664538, 0.01482627615279385
30, 22, 0.013275077877894115, 0.014493877440178668
30, 20, 0.012864316615977024, 0.014275905293579727
30, 21, 0.013766170768925992, 0.01506430561588841
30, 16, 0.014030568576105872, 0.015548735192604829
30, 23, 0.01281181460727336, 0.014163252840984927
30, 25, 0.013271815876075189, 0.014852112580209654
30, 19, 0.012773654841395577, 0.014074481271889578
30, 27, 0.013309113924855396, 0.014641729887188194
30, 25, 0.012644725563529642, 0.014090955924521234
30, 23, 0.012757555070340487, 0.014296165243529564
30, 23, 0.011635703832255852, 0.01314550846403178
30, 24, 0.011766991535181773, 0.013349190918173465
30, 26, 0.011093655517158489, 0.01244272789224938
30, 24, 0.010777173271170486, 0.012370074689494923
30, 25, 0.011047606211936371, 0.012849200821298621
30, 23, 0.011089338826337045, 0.012526074892799452
30, 24, 0.010359902318221929, 0.011796250970270516
30, 23, 0.010502797299293135, 0.012068949945259288
30, 28, 0.010457399977534766, 0.011884624989977622
30, 22, 0.010606237631140191, 0.012116218477538654
30, 21, 0.011403135959650382, 0.012914423627114095
30, 27, 0.01110561379150337, 0.01250135595827981
30, 25, 0.010085822822856558, 0.011565753936115558
30, 24, 0.010202733053552814, 0.011674917136832826
30, 26, 0.010231392468000665, 0.011486276773702803
30, 26, 0.009731996884630594, 0.010972158888722588
30, 23, 0.009440918028846862, 0.010715111814318947
30, 27, 0.00926916079142639, 0.010646569305368309
30, 24, 0.009426929430847213, 0.010775627077297716
30, 25, 0.009572960608861607, 0.010489761523463354
30, 24, 0.009011175732073738, 0.010158222328453015
30, 26, 0.00892540463049646, 0.010329667308931817
30, 26, 0.008698348296120595, 0.009900012812735127
30, 27, 0.009175672501904271, 0.010494173176467104
30, 28, 0.009055713397758328, 0.01036246381689359
30, 28, 0.009118921462221425, 0.01032326227091502
30, 25, 0.009360671332187185, 0.010510783404045747
30, 22, 0.009313333181304369, 0.010603028306455289
30, 28, 0.008486000245100444, 0.00937077348103019
30, 25, 0.008696617705335247, 0.009959887100167455
30, 26, 0.00824893202000697, 0.009409623833905385
30, 26, 0.007982254512147853, 0.009136016107838284
30, 27, 0.008798183081424762, 0.00967592540557975
30, 22, 0.008475027141863833, 0.009663002894597681
30, 27, 0.009130989265071544, 0.010111985865644242
30, 24, 0.008528155997516532, 0.00955103761253426
30, 27, 0.009220104540105575, 0.010239521512112621
30, 27, 0.008645417338424131, 0.010006647165824062
30, 24, 0.00887466989788428, 0.010156849920553154
30, 29, 0.008759577950228158, 0.009907940739126762
30, 27, 0.00888830718178211, 0.009987922349705627
30, 27, 0.00861717046289531, 0.009689287680330729
30, 28, 0.009461426757050452, 0.010433258582485023
30, 28, 0.009400255346117214, 0.010679465205682427
30, 28, 0.009768499842583038, 0.010790836213968586
30, 27, 0.009120338915391147, 0.010313903722910807
30, 26, 0.010085811904803382, 0.01140320423649993
30, 28, 0.010186859715024496, 0.011474876065116501
30, 25, 0.010077027846200761, 0.011159423221693214
30, 29, 0.009938939782563612, 0.011079286653063082
30, 24, 0.009614901875732646, 0.010699596121168914
30, 28, 0.009370299853025921, 0.010576511942158957
30, 29, 0.009242147440233262, 0.01044344129137731
30, 28, 0.008997175489372984, 0.010151806312341331
30, 26, 0.009380422083963282, 0.010707613372997296
30, 27, 0.009177578000387368, 0.010396063507825236
30, 25, 0.009460076401467612, 0.010807770530468027
30, 27, 0.00915680486505966, 0.01023386742519058
30, 28, 0.00843963944425574, 0.009684197479328725
30, 26, 0.008127047427817537, 0.009336062727212336
30, 28, 0.0091965036603594, 0.010315773692828692
30, 26, 0.008664288481405453, 0.009717903596279592
30, 27, 0.008083461773529978, 0.009396363841070822
30, 25, 0.008437091484083802, 0.00960805234237341
30, 25, 0.00824088672058907, 0.00918670154615083
30, 25, 0.008227540691701792, 0.009464845759955341
30, 24, 0.008804628577899865, 0.009916825500834087
30, 28, 0.008621050357407187, 0.009681065430501873
30, 24, 0.008682489449645135, 0.00967000675313598
30, 28, 0.008780093287255186, 0.010127817161312542
30, 27, 0.009025484832436986, 0.010007718027098931
30, 26, 0.008451770334780371, 0.009452744431438904
30, 28, 0.0085911293379737, 0.009602078570153667
30, 26, 0.008480639543673136, 0.009692403203159377
30, 27, 0.008556577423889822, 0.009759134654705598
30, 26, 0.008459738053294953, 0.009566421764807966
30, 29, 0.00867454866470615, 0.009707730838427067
30, 24, 0.008326581849209529, 0.009381949112950611
30, 28, 0.008697325777752106, 0.009823429512745514
30, 30, 0.008654863166294751, 0.009688016848999732
30, 26, 0.009082780206318725, 0.00994424083688176
30, 25, 0.00898997425023987, 0.010115023979149627
30, 27, 0.008656309769913627, 0.00946860647271135
30, 25, 0.008298606271789178, 0.00922125548241915
30, 28, 0.008245986500326293, 0.009384975338055013
30, 28, 0.00804134964581038, 0.00911157514498323
30, 23, 0.008330616866854254, 0.00926476681029531
30, 25, 0.00821897746735068, 0.009103785098446521
30, 26, 0.007924912479283168, 0.008768080314026403
30, 25, 0.007562603201319692, 0.00857313681752747
30, 26, 0.0072975006479032885, 0.008274435945665137
30, 28, 0.0075098812552308, 0.008492411732038492
